106;COLEGIO JAO LTDA;GOIANIA;GO;Privada;De 60% a 80%;Muito Alto;659,27;621,52;704,28;642,66;668,62;740,41
107;COL ANDREWS;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;659,18;628,52;703,37;626,14;678,7;742,86
108;FARIAS BRITO PRE VESTIBULAR ALDEOTA;FORTALEZA;CE;Privada;De 40% a 60%;Muito Alto;659,08;612,01;724,63;636,57;663,11;773,5
109;CENTRO DE ESTUDOS INTEGRADOS;BARRA DO PIRAI;RJ;Privada;De 60% a 80%;Muito Alto;658,92;619,28;709,61;635,41;671,4;811,88
110;GRUPO GENESE DE ENSINO COLEGIO E CURSO;RECIFE;PE;Privada;De 40% a 60%;Muito Alto;658,85;608,59;732,21;632,71;661,91;731,03
111;CAMPUS 1 - BH;BELO HORIZONTE;MG;Federal;80% ou mais;Alto;658,67;611,67;721,58;634,88;666,54;717,46
112;COLEGIO ESPANHOL SANTA MARIA CIDADE NOVA;BELO HORIZONTE;MG;Privada;80% ou mais;Muito Alto;658,5;623,21;705,13;629,51;676,16;777,25
113;CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS - CEFET MG - CAMPUS TIMOTEO;TIMOTEO;MG;Federal;80% ou mais;Alto;658,04;605,14;732,72;632,7;661,59;697,92
114;OBJETIVO JUNIOR COLEGIO;TAUBATE;SP;Privada;80% ou mais;Muito Alto;658;613,81;719,06;644,26;654,86;692,86
115;ESCOLA PARQUE - BARRA;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;657,85;608,95;738,51;621,26;662,68;746,13
116;COL MARISTA SANTA MARIA EDUC INF ENS FUND E MEDIO;CURITIBA;PR;Privada;80% ou mais;Muito Alto;657,71;617,15;724,88;631,49;657,33;699,68
117;SAO PAULO ETEC DE;SAO PAULO;SP;Estadual;80% ou mais;Muito Alto;657,59;631,77;698,26;622,59;677,75;696,7
118;COLEGIO DE A A Z;RIO DE JANEIRO;RJ;Privada;De 20% a 40%;Muito Alto;657,37;626,74;700,59;630,05;672,09;813,54
119;AUGUSTO LARANJA COLEGIO UNIDADE I;SAO PAULO;SP;Privada;80% ou mais;Muito Alto;657,21;623,91;718,89;624,4;661,65;698,75
120;COLEGIO ALEXANDER FLEMING;CAMPO GRANDE;MS;Privada;De 60% a 80%;Muito Alto;656,84;616,84;711,95;637,93;660,64;734,86
121;UNIVERSIDADE FEDERAL DO PARANA - SEPT;CURITIBA;PR;Federal;De 40% a 60%;Alto;656,82;608,75;732,53;644,6;641,4;658,62
122;COLEGIO PH;NITEROI;RJ;Privada;De 60% a 80%;Muito Alto;656,53;625,01;695,36;634,3;671,46;793,67
123;CIDADE DE ATIBAIA COLEGIO;ATIBAIA;SP;Privada;De 40% a 60%;Muito Alto;656,22;612,48;709,63;642,36;660,41;681,76
124;COLEGIO PH;RIO DE JANEIRO;RJ;Privada;De 60% a 80%;Muito Alto;656,17;618,3;695,05;637,43;673,9;777,37
125;ESC MODELAR CAMBAUBA;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;655,91;626,21;682,58;638,22;676,64;749,31
126;COLEGIO SANTA MARIA CORACAO EUCARISTICO;BELO HORIZONTE;MG;Privada;80% ou mais;Muito Alto;655,78;619,47;692,32;644,19;667,13;778,1
127;COMUNITARIA DE CAMPINAS ESCOLA;CAMPINAS;SP;Privada;80% ou mais;Muito Alto;655,7;615,4;717,21;630,32;659,88;708,19
128;MONTEIRO LOBATO COLEGIO;MOGI GUACU;SP;Privada;80% ou mais;Muito Alto;655,7;616,23;703,08;636,22;667,26;680,91
129;IMACULADA INSTITUTO EDUCACIONAL;CAMPINAS;SP;Privada;80% ou mais;Muito Alto;655,56;610,73;714,37;631,46;665,67;710,85
130;COLEGIO 17 DE AGOSTO;RECIFE;PE;Privada;80% ou mais;Muito Alto;655,45;616,38;705,18;627,52;672,73;743,75
131;RECANTO INF IMACULADA CONCEICAO;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;655,44;612,39;711,06;636,65;661,65;755,28
132;COL PENTAGONO;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;655,23;608,32;713,97;641,55;657,08;729,02
133;COLEGIO PEDRO II - CAMPUS CENTRO;RIO DE JANEIRO;RJ;Federal;80% ou mais;Alto;655,15;616,05;719,21;618,02;667,31;727,8
134;COLEGIO SAGRADO CORACAO DE MARIA;VITORIA;ES;Privada;80% ou mais;Muito Alto;655,04;618,49;707,84;626,62;667,2;626,25
135;MIGUEL DE CERVANTES COLEGIO;SAO PAULO;SP;Privada;80% ou mais;Muito Alto;654,92;617,66;726,34;624,11;651,57;689,35
136;ANGLO - LEONARDO DA VINCI COLEGIO;TABOAO DA SERRA;SP;Privada;80% ou mais;Muito Alto;654,58;604,23;720,86;632,31;660,92;724
137;SIDARTA COLEGIO;COTIA;SP;Privada;80% ou mais;Muito Alto;654,01;616,51;703,24;628,86;667,43;703
138;COLEGIO MILITAR DE JUIZ DE FORA;JUIZ DE FORA;MG;Federal;De 60% a 80%;Muito Alto;654;605,26;717,92;635,49;657,32;736,56
139;COLEGIO SANTO AGOSTINHO-UNIDADE CONTAGEM;CONTAGEM;MG;Privada;80% ou mais;Muito Alto;653,93;611;703,55;626,77;674,42;703,09
140;INST DE TECNOLOGIA ORT;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;653,64;597,47;726,81;636,77;653,49;695,15
141;PRUDENTE DE MORAES COLEGIO;SALTO;SP;Privada;80% ou mais;Muito Alto;653,54;604,24;714,66;650,21;645,03;711,58
142;IFES - CAMPUS COLATINA;COLATINA;ES;Federal;80% ou mais;Alto;653,39;608,16;718,14;622,57;664,69;700,61
143;ESCOLA ALEMA CORCOVADO - EXPERIMENTAL;RIO DE JANEIRO;RJ;Privada;80% ou mais;Muito Alto;652,9;619,39;704,64;621,27;666,3;771,04
